# A Mapping between WordNet 3.0 and 3.1 synset offsets
# HyperDic hyper-dictionary, http://hyperdic.net
# (c) 2012 by Eric Kafe
#
# This mapping is released under the CC BY 3.0 license
# http://creativecommons.org/licenses/by/3.0/
#=====================================================
#PoS	WordNet 3.0	WordNet 3.1
a	00229630	00231222
a	00229978	00231570
a	00230076	00231668
a	00230208	00231800
a	00230335	00231927
a	00230843	00232435
a	00230940	00232532
a	00231103	00232695
a	00231252	00232844
a	00231591	00233183
a	00231761	00233353
a	00231963	00233555
a	00232068	00233660
a	00232234	00233826
a	00232385	00233977
a	00232620	00234212
a	00232754	00234346
a	00232986	00234578
a	00233151	00234743
a	00233263	00234855
a	00233353	00234945
a	00233442	00235034
a	00233635	00235227
a	00233756	00235348
a	00233925	00235517
a	00234106	00235698
a	00234378	00235970
a	00234522	00236114
a	00234733	00236325
a	00234872	00236464
a	00235239	00236831
a	00235326	00236918
a	00235429	00237021
a	00235571	00237163
a	00235731	00237323
a	00235823	00237415
a	00235913	00237505
a	00235988	00237580
a	00236086	00237678
a	00236200	00237792
a	00236338	00237930
a	00236483	00238075
a	00236652	00238244
a	00236839	00238431
a	00236922	00238514
a	00236989	00238581
a	00237156	00238748
a	00237240	00238832
a	00237788	00239380
a	00237881	00239473
a	00237965	00239557
a	00238037	00239629
a	00238189	00239781
a	00238310	00239902
a	00238400	00239992
a	00238490	00240082
a	00238564	00240156
a	00238636	00240228
a	00238712	00240304
a	00238788	00240380
a	00238862	00240454
a	00238934	00240526
a	00239012	00240604
a	00239090	00240682
a	00239185	00240777
a	00239325	00240917
a	00239444	00241036
a	00239520	00241112
a	00239594	00241186
a	00239668	00241260
a	00239742	00241334
a	00239847	00241439
a	00240008	00241600
a	00240197	00241789
a	00240323	00241915
a	00240417	00242009
a	00240584	00242176
a	00240655	00242247
a	00240842	00242448
a	00241004	00242610
